名称,人气
克里斯托弗·普卢默,3772 
伊莎贝尔·朱尔,36 
哈立德·穆扎纳,6 
曹重勋,8 
娜丁·拉巴基,4852 
比于什·古普塔,9 
金相浩,668 
哈里·达文波特,8 
海塔·塞德拉·伊扎姆,248 
薛景求,7769 
文牧野,6696 
沙克希·坦沃,46 
J·M·克里根,4 
杰罗姆·兰福特,2 
吉里什·库卡尼,10 
鲍勃·彼德森,79 
赞恩·阿尔·拉菲亚,4198 
爱德华·阿斯纳,112 
王砚辉,4972 
金海淑,1334 
谭卓,23503 
莉莲·肯布尔-库珀,8 
法迪·尤瑟夫,18 
法缇玛·萨那·纱卡,1881 
韩家女,322 
张海艳,29 
涅提·蒂瓦里,390 
米歇尔·凯斯沃尼,4 
苇青,300 
保罗·赫斯特,5 
丹尼·曼恩,1 
周一围,8606 
罗美兰,1917 
里特维克·萨霍里,80 
贾晨飞,204 
埃利亚斯·库利,3 
塞伊拉·沃西,695 
岳小军,328 
金成旭,4 
约翰·菲德勒,53 
德尔罗伊·林多,128 
卡萨尔·艾尔·哈达德,21 
朱耕佑,54 
约丹诺斯·希费罗,81 
黛安娜·温恩·琼斯,7 
汤姆·麦卡锡,991 
杨新鸣,1280 
马丁·鲍尔萨姆,259 
尼基尔·麦罗特拉,5 
杰克·瓦尔登,70 
王传君,6377 
大卫·卡耶,9 
乔什·库雷,188 
吉哈德·霍加里,4 
扬·马特尔,279 
钟伟,109 
苏哈妮·巴特纳格尔,131 
巴拉特·巴蒂,9 
桑亚·玛荷塔,1140 
阿拉·乔什涅,6 
穆德·阿巴斯·卡勒里,4 
博鲁瓦蒂夫·特雷杰·班科尔,501 
罗伯特·韦伯,95 
乔治斯·哈巴兹,5 
章宇,18094 
姜文,88898 
李乃文,1697 
徐峥,18015 
努尔·艾尔·侯赛尼,6 
龚蓓苾,2960 
李安,82443 
李海滨,745 
富冠铭,37 
伊崎充则,21 
大塚明夫,291 
亨利·方达,4248 
宁浩,20587 
王佳佳,817 
阿彦·汗,4 
西德尼·吕美特,8932 
克里斯托弗·沃肯,9590 
黄健玮,417 
泽田谦也,293 
克里斯·埃里斯,7 
杰夫·内桑森,61 
槐柳二,8 
弗兰克·约翰·休斯,124 
倍赏千惠子,1792 
普佩拉·玛奇奥,32 
大卫·麦基,33 
安原义人,8 
纳撒尼尔·利斯,12 
维比什·希瓦库玛,6 
LucasHayward,1 
加布里埃尔·安瓦尔,5180 
史建全,151 
里奥·故罗塔,22 
蔡卫东,8 
吉恩·坎菲尔德,3 
卡卢姆·吉廷斯,5 
马丁·辛,1803 
JonathanHarding,1007 
田中真弓,499 
瓦娜·波利,5 
詹姆斯·瑞布霍恩,373 
弗兰克·芬莱,40 
阿格妮丝·那诺,812 
马特·史密斯,2786 
埃迪·艾伯特,69 
罗宾·马尔科姆,14 
丹·汉纳,16 
穆琳·利普曼,29 
郭俊立,168 
格利高里·派克,9970 
菲利普·塞默·霍夫曼,8352 
姚橹,1393 
朱苏进,289 
弗兰西丝·康罗伊,1356 
杨奇雨,41 
廖凡,18055 
茱莉亚·蕾娜,7 
莉莲·奈福,8 
哈特利·鲍尔,12 
迈克尔·克兰茨,5 
胡明,462 
危笑,945 
伊莎贝尔·奥特曼,3824 
大卫·韦瑟莱,2 
邵兵,1145 
基努·里维斯,59079 
杰拉·哈斯,154 
赵铭,1829 
罗伯特·泰勒,2604 
卡梅隆·罗德,3 
珍妮特·利,1233 
彼得·杰克林,3 
乔纳森·哈根森,23 
拉娜·沃卓斯基,7231 
劳拉·帕克,8 
约瑟夫·斯蒂凡诺,13 
袁满,89 
威廉·约翰逊,4 
安东尼雷派克,5 
劳伦斯·菲什伯恩,3412 
李克弱,62 
阿达·尼科德莫,30 
宋康昊,38401 
富润生,31 
车光洙,8 
吴达洙,4317 
沈熙燮,85 
加斯通·莫辛,15 
布鲁诺·柯比,70 
约翰·阿普雷亚,5 
MariaCarta,1 
