省游泳馆优质服务 助力全民健身,2021-06-10,http://tyj.henan.gov.cn/2021/06-10/2161392.html
张国文：阳光“大块头”的运动人生,2021-06-08,http://tyj.henan.gov.cn/2021/06-08/2160191.html
太极，助她们迎来美丽人生,2021-06-07,http://tyj.henan.gov.cn/2021/06-07/2159813.html
八段锦教到村里来,2021-06-04,http://tyj.henan.gov.cn/2021/06-04/2158050.html
全国体育舞蹈教师 培训班在郑开课,2021-06-03,http://tyj.henan.gov.cn/2021/06-03/2157279.html
第三十二届华夏友好城市老年桥牌赛在焦作圆满结束,2021-05-31,http://tyj.henan.gov.cn/2021/06-02/2156859.html
全民健身攀岩培训周举行,2021-06-02,http://tyj.henan.gov.cn/2021/06-02/2156413.html
风雨无阻，脚步铿锵 濮阳有一支徒步“铁人团”,2021-05-27,http://tyj.henan.gov.cn/2021/05-27/2153325.html
中国街舞联赛郑州站周末启幕,2021-05-27,http://tyj.henan.gov.cn/2021/05-27/2152610.html
我省人均体育场地面积达到2平方米,2021-05-27,http://tyj.henan.gov.cn/2021/05-27/2152604.html
什么是失温？有多危险？如何救援？一图带你了解,2021-05-25,http://tyj.henan.gov.cn/2021/05-25/2150978.html
一辈子都热爱运动——“杂交水稻之父”袁隆平深切的体育情缘,2021-05-25,http://tyj.henan.gov.cn/2021/05-25/2150958.html
长葛白务村民：有了健身园，俺们的生活跟城里一样了！,2021-05-24,http://tyj.henan.gov.cn/2021/05-24/2150112.html
百余泳将会战省体育场游泳馆  2021年河南省成人游泳邀请赛举行,2021-05-24,http://tyj.henan.gov.cn/2021/05-24/2150088.html
中华广场舞大赛复赛郑州站落幕,2021-05-24,http://tyj.henan.gov.cn/2021/05-24/2149950.html
健身优惠券 邀您“动起来”  600万元河南健身优惠券将在6个试点城市发放,2021-05-21,http://tyj.henan.gov.cn/2021/05-21/2148823.html
他，7年跑了27场马拉松,2021-05-19,http://tyj.henan.gov.cn/2021/05-19/2147390.html
规范技术水平引导良性发展 中跆协段位考试培训班在郑州举行,2021-05-18,http://tyj.henan.gov.cn/2021/05-18/2146653.html
2021徒步河南·全民健身旅游大会鸣枪开走,2021-05-18,http://tyj.henan.gov.cn/2021/05-18/2146556.html
五月中原掀起老年人太极健身热潮,2021-05-17,http://tyj.henan.gov.cn/2021/05-17/2145940.html
