电影名,上映年度,电影英文名,类型,上映时间,国家及地区,累计票房
随时随地杀死你,2003,Hatred of a Minute,犯罪/恐怖/爱情/惊悚,2003-5-29（中国）,美国,无
烈焰奇侠：黄金军团,2008,Hellboy II: The Golden Army,动作/冒险,2008-11-21（中国）,美国/德国,1533.1万
宙斯之子：赫拉克勒斯,2014,Hercules,动作/冒险,2014-10-21（中国）,美国,8282.4万
霍比特人2：史矛革之战,2014,HuoBiTeRen2：ShiMaoGeZhiZhan,冒险/奇幻/动作/剧情,2014-2-21（中国）,美国/新西兰,46272.0万
霍比特人1：意外旅程,2013,The Hobbit: An Unexpected Journey,冒险/奇幻,2013-2-22（中国）,美国,31628.5万
驯龙高手,2010,How to Train Your Dragon,动画/冒险/喜剧,2010-5-14（中国）,美国,8988.6万
绿巨人浩克,2003,Hulk,科幻,2003-10-10（中国）,美国,824.8万
我，机器人,2004,"I, Robot",科幻,2004-11-26（中国）,美国/德国,1500.0万
冰川时代,2002,Ice Age,动画,2002-9-28（中国）,美国,537.9万
冰川时代3,2009,Ice Age: Dawn of the Dinosaurs,动画,2009-7-8（中国）,美国,15074.8万
冰河世纪2：冰川融解,2006,Ice Age: The Meltdown,动画,2006-6-9（中国）,美国,无
大灌篮,2008,Kung Fu Dunk,爱情,2008-2-8（中国）,中国香港/中国台湾/中国,9582.6万
地牢围攻,2010,In the Name of the King: A Dungeon Siege Tale,动作/冒险,2010-5-19（中国）,德国/加拿大/美国,525.5万
以儿子的名义,2008,In the Name of the Son,剧情/惊悚/战争,2008-6-19（中国）,美国/波斯尼亚/印度,无
无敌浩克,2008,"Incredible Hulk, The",科幻/惊悚/动作,2008-8-20（中国）,美国,5389.4万
超人总动员,2005,The Incredibles,动画/动作/冒险/科幻,2005-1-28（中国）,美国,11.9万
星际穿越,2014,Interstellar,科幻/冒险/悬疑/亲情/穿越,2014-11-12（中国）,美国/英国,75532.8万
公元2000,2000,Gong yuan 2000 AD,惊悚,2000-6-16（中国）,中国香港/新加坡,无
钢铁侠,2008,Iron Man,科幻/动作/冒险/惊悚,2008-4-30（中国）,美国,7779.7万
钢铁侠2,2010,Iron Man 2,科幻/动作/冒险,2010-5-7（中国）,美国,17509.9万
钢铁侠3,2013,Iron Man 3,动作/科幻/冒险,2013-5-1（中国）,美国/中国,75486.7万
古宅心慌慌,2003,The Death Curse,惊悚,2003-10-28（中国）,中国香港,701.2万
偷天换日,2003,The Italian Job,动作,2003-11-28（中国）,美国/法国/英国,1700.0万
异星战场,2012,John Carter,科幻/动作/冒险,2012-3-16（中国）,美国,26010.6万
地心历险记,2008,Journey to the Center of the Earth,科幻,2008-9-28（中国）,美国,6333.5万
侏罗纪公园,2013,Jurassic Park 3D,动作/冒险/科幻/惊悚,2013-8-20（中国）,美国,34947.0万
侏罗纪世界,2015,Jurassic World,动作/冒险/科幻/惊悚,2015-6-10（中国）,美国,142073.2万
正义联盟,2017,Justice League,动作/冒险/奇幻/科幻,2017-11-17（中国）,美国,69011.0万
隔世情缘,2003,Kate & Leopold,爱情,2003-1-1（中国）,美国,600.2万
亚瑟王,2004,King Arthur,战争,2004-10-22（中国）,美国/英国/爱尔兰,2740.7万
金刚,2005,King Kong,惊悚/爱情/冒险,2005-12-24（中国）,新西兰/美国/德国,10231.0万
神秘代码,2009,Knowing,科幻,2009-10-30（中国）,美国,3110.0万
功夫熊猫,2008,Kung Fu Panda,动画,2008-6-20（中国）,美国,15238.5万
功夫熊猫2,2011,Kung Fu Panda 2,动画,2011-5-28（中国）,美国,61206.6万
云梯49,2004,Ladder 49,惊悚,2004-11-19（中国）,美国,无
古墓丽影,2001,Lara Croft: Tomb Raider,动作,2001-10-26（中国）,英国/德国/美国/日本,1400.0万
最后的风之子,2010,The Last Airbender,动作/冒险/科幻,2010-8-23（中国）,美国,2981.0万
一夜迷情,2011,Last Night,爱情/剧情,2011-10-14（中国）,美国/法国,891.5万
少年派的奇幻漂流,2012,Life of Pi,冒险/剧情/灾难,2012-11-22（中国）,美国,57289.9万
华纳巨星总动员,2004,Looney Tunes: Back in Action,动画,2004-4-28（中国）,德国/美国,无
指环王：护戒使者,2002,The Lord of the Rings: The Fellowship of the Ring,奇幻,2002-4-8（中国）,新西兰/美国,5620.1万
指环王：王者无敌,2004,The Lord of the Rings: The Return of the King,奇幻,2004-3-12（中国）,美国/新西兰/德国,无
指环王：双塔奇兵,2003,The Lord of the Rings: The Two Towers,奇幻/冒险/动作,2003-4-25（中国）,美国/新西兰/德国,2400.0万
迷失Z城,2017,The Lost City of Z,动作/冒险/传记,2017-6-2（中国）,美国,703.5万
侏罗纪公园2,1997,"Lost World: Jurassic Park, The",动作/冒险/恐怖/科幻/惊悚,1997-8-7（中国）,美国,无
澳门暮色,2007,Macau Twilight,恐怖/惊悚,2007-8-16（中国）,美国,无
