,score,city,comment
167,4.5,博爱,集搞笑与内涵一体的极品电影，好久没有看过这么自然催泪的好片子了。开心麻花继续加油！
168,3.0,德清,不是很喜欢这个电影。剧情还算有新意，但深究这个电影所透露的观点让我很难受，男主穿越前好高骛远无所事事，靠老婆养还惦记着初恋可谓是世纪渣男。穿越后更是靠着剽窃别人的作品走上大红大紫的道路，娶到了自己的梦中女神吧，还出去乱搞导致自己得了艾滋可谓是真小人真渣男了。最后虽然幡然醒悟，但看结尾也是废人一个天天腻着老婆仿佛童话故事一般HE了，我真是哔了狗。明明第二世马冬梅的生活还是很美满的，虽说老公有点傻但是真的爱她，为什么最后就一定要和夏洛这个渣男在一起呢？难道在编剧看来女人就应该像圣母一样吗？一个人撑着两个人的家吃苦也就算了，还要忍受自己老公心里一直惦记着别人，这么卑微的爱到底有什么幸福可言？
169,4.5,深圳,不错，太搞笑了
170,3.5,武汉,挺欢乐的一群人，等到失去后才会珍惜
171,5.0,长春,很喜欢！看了4遍
172,5.0,临沂,三年过去了，愿你好
173,3.0,宁波,就很感慨，男人都是大猪蹄子
174,5.0,秦皇岛,无敌好看 看了N遍
175,4.0,北京,非常好的片子
176,5.0,珠海,"唯一一次和某人去看，毕竟是最好的回忆。。。。
很搞笑的一部电影，但是又不尬，好评〜(￣▽￣〜)"
177,4.5,西安,很满意很满意很满意很满意很满意
178,5.0,曲靖,完美，很感人的片子，
179,4.5,呼和浩特,诙谐幽默 引人深思
180,4.0,太仓,如果时光倒流，该多好。
181,5.0,常州,烦恼中寻找快乐，值得一看
182,5.0,诸暨,重新翻了翻猫眼，重新翻了翻回忆，阿清，毕业快乐，愿你余生安好
183,5.0,北京,看了n遍非常好看
184,5.0,延边,很好非常好看
185,5.0,昆明,满分电影，好看！
186,5.0,东莞,跟最爱的人去看的，很开心，很好看，很搞笑，我爱你漫漫
187,5.0,广州,很好，好久没看这么搞笑的电影了
188,4.5,南京,太好看了，笑点十足
189,5.0,北京,很好看，笑点超足。也有泪点
191,5.0,湖州,看完这个电影以后和男朋友在一起啦，永远甜蜜，永远开心～
192,4.5,太原,从一开始的笑到哭
193,5.0,贵阳,搞笑值得看看
194,5.0,北京,棒极了！！好看了！！人在旅途！！！
195,4.5,济南,剧情吸引人，喜剧色彩浓厚，演员比较投入
196,4.5,孝感,看了还可以，
197,5.0,开封,好看 很多笑点
198,5.0,济南,苗宇，感谢十七岁那时有你的陪伴🙂之后你我各自离开北京，分开两年已久，断了所有的联系方式。再未遇见！我猜你应该有男朋友了吧，随遇而安，永远再见！
